,valence,year,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artists,collaborators
18598,0.52,2014,0.00689,0.7170000000000001,224933,0.862,1,1ULa3GfdMKs0MfRpm6xVlu,0.0,8,0.321,-4.7360000000000015,1,We Dem Boyz,67,2014-08-19,0.054000000000000006,130.02100000000002,['Wiz Khalifa'],1
16521,0.6759999999999999,2004,0.409,0.6459999999999999,265480,0.7959999999999999,1,4gXdMZkBN1neE9nX6yRALa,0.0,2,0.107,-6.152,1,Ass Like That,67,2004-11-12,0.366,83.09299999999998,['Eminem'],1
16804,0.645,2005,0.0949,0.833,286187,0.628,1,4GIsskMpViPkt0uzPJTJSp,1.6e-06,2,0.282,-7.041,1,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",67,2005-12-09,0.141,106.32799999999999,"['The Notorious B.I.G.', 'Avery Storm', 'Diddy', 'Jagged Edge', 'Nelly']",5
18501,0.6459999999999999,2014,0.0668,0.9640000000000001,260240,0.605,1,794F99D5BQHS5ZGRXAs7I5,7.78e-06,9,0.214,-6.223,1,Anaconda,67,2014-12-15,0.179,129.994,['Nicki Minaj'],1
16556,0.0904,2004,0.33399999999999996,0.589,224320,0.442,0,0O7lENhqOySbsL743G7PqD,0.000424,4,0.0987,-8.517000000000001,1,"Vermilion, Pt. 2",67,2004,0.0291,122.68799999999999,['Slipknot'],1
18502,0.168,2014,0.158,0.614,225693,0.47200000000000003,0,0xwPzLmBAYro8BUz7MrtAo,0.0,7,0.111,-6.626,1,Make You Miss Me,67,2014-10-27,0.0297,146.005,['Sam Hunt'],1
16755,0.589,2005,0.0279,0.45799999999999996,211333,0.958,1,249Z7XT6mf8B2zuI0RaeS0,0.0,6,0.10800000000000001,-2.331,1,Violent Pornography,67,2005-05-17,0.0854,142.70600000000005,['System Of A Down'],1
140673,0.5,2020,0.0337,0.946,157242,0.644,1,2dVZ1zcM2BYvXaQYTuIjZM,0.0,5,0.10800000000000001,-5.225,0,Nasty,67,2020-11-06,0.0653,116.02799999999999,['NAV'],1
140679,0.373,2020,0.856,0.4370000000000001,259387,0.517,1,75MSZRbAbQuzfUV3Pefvut,0.0,9,0.109,-9.329,0,None Of Your Concern (feat. Big Sean),67,2020-03-06,0.225,82.757,"['Jhené Aiko', 'Big Sean']",2
18560,0.759,2014,0.0136,0.882,169160,0.965,0,4f3NHOxgC8Bg21IJBg4cZ3,0.38799999999999996,4,0.20600000000000002,-0.818,1,Freaks - Radio Edit,67,2014-03-10,0.13,128.129,"['Timmy Trumpet', 'Savage']",2
16745,0.753,2005,0.0208,0.836,213200,0.6609999999999999,0,22AbXxQbMdVqEz7xJjhccG,0.0,7,0.449,-6.5020000000000024,0,Welcome To Jamrock,67,2005-01-01,0.33799999999999997,76.71,['Damian Marley'],1
18555,0.32899999999999996,2014,0.0242,0.596,249382,0.8270000000000001,0,6liNJDyWJjyHAgDnAX95bw,0.0,5,0.0958,-4.402,1,Fire and the Flood,67,2014-09-09,0.0372,115.03399999999999,['Vance Joy'],1
140465,0.23399999999999999,2019,0.843,0.496,208987,0.27,1,3CRtbOoAP82y0VbPO5j1ft,0.0,10,0.114,-9.932,1,Too Sad To Cry,67,2019-10-18,0.0361,121.52,['Sasha Sloan'],1
140441,0.35200000000000004,2018,0.0214,0.8270000000000001,183020,0.7390000000000001,0,1EYSS9Lp7a9f20C3FaOVgI,4.13e-06,8,0.043,-6.391,1,Baby Don’t Stop,67,2018-03-14,0.0744,95.999,"['NCT', 'NCT U']",2
38016,0.231,2017,0.0797,0.843,156081,0.52,1,4AtzZyzf00fxAaJO2LyXiO,5.09e-06,1,0.0944,-9.629,1,For The Last Time,67,2017-09-11,0.541,140.07,['$uicideBoy$'],1
140762,0.649,2020,0.35200000000000004,0.695,184615,0.433,0,1oxTXnbKs7l9s73H2fJXF6,2.8800000000000002e-05,6,0.297,-12.965,0,Bajo Efecto Del Alcohol,67,2020-06-04,0.0338,97.34899999999999,['Esteban Gabriel'],1
18767,0.6779999999999999,2015,0.193,0.7759999999999999,236000,0.762,1,55Q46o5adtSobImSKrrlqW,0.0,0,0.18,-4.356,1,Top,67,2015-12-18,0.21600000000000005,120.039,['Lil Uzi Vert'],1
18756,0.693,2015,0.319,0.574,179078,0.745,0,2WKLUgklz0VDX5bKTZ3eYD,0.0,2,0.11,-6.662999999999999,1,Buy Me a Boat,67,2015-10-30,0.0507,154.042,['Chris Janson'],1
15454,0.503,1999,0.0261,0.47,210133,0.978,0,7lmeHLHBe4nmXzuXc0HDjk,1.09e-05,7,0.35600000000000004,-5.399,1,Testify,67,1999-11-02,0.0727,117.906,['Rage Against The Machine'],1
15457,0.841,1999,0.184,0.866,226133,0.534,0,0eEXcw3JLVXcRxYrVYMy68,0.266,11,0.0929,-9.201,1,Electric Relaxation,67,1999-10-26,0.22899999999999998,98.243,['A Tribe Called Quest'],1
18753,0.29100000000000004,2015,0.0062,0.748,312240,0.733,1,3ESSGgWzRf1xvP7G5hHMhB,0.0,11,0.32899999999999996,-4.421,0,Again,67,2015-09-25,0.07200000000000001,93.01899999999999,['Fetty Wap'],1
15462,0.539,1999,0.00162,0.426,205600,0.929,0,1MQTmpYOZ6fcMQc56Hdo7T,0.105,2,0.0789,-6.729,1,Sleep Now In the Fire,67,1999-11-02,0.0701,127.059,['Rage Against The Machine'],1
15468,0.278,1999,0.17300000000000001,0.529,250547,0.496,0,3y4LxiYMgDl4RethdzpmNe,0.0,7,0.251,-9.007,1,Breathe,67,1999-11-09,0.028999999999999998,136.859,['Faith Hill'],1
15476,0.7140000000000001,1999,0.11900000000000001,0.706,253733,0.888,1,5Mmk2ii6laakqfeCT7OnVD,9.640000000000001e-05,2,0.07,-6.959,1,Thong Song,67,1999-01-01,0.0654,121.54899999999999,['Sisqo'],1
37020,0.603,2012,0.374,0.495,244507,0.583,0,3jJ5NJ3aNWvV70Rd7hgZIH,0.0,8,0.0781,-4.5310000000000015,1,Gotta Be You,67,2012-05-25,0.0249,84.969,['One Direction'],1
15477,0.68,1999,0.0406,0.777,261973,0.601,0,3XKIUb7HzIF1Vu9usunMzc,0.00201,2,0.0348,-5.931,1,Maria Maria (feat. The Product G&B),67,1999-06-15,0.126,97.911,"['Santana', 'The Product G&B']",2
